Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2022,01,01,33.6,1,Y
IDCJAC0010,023000,2022,01,02,30.6,1,Y
IDCJAC0010,023000,2022,01,03,25.9,1,Y
IDCJAC0010,023000,2022,01,04,24.4,1,Y
IDCJAC0010,023000,2022,01,05,21.5,1,Y
IDCJAC0010,023000,2022,01,06,22.3,1,Y
IDCJAC0010,023000,2022,01,07,21.0,1,Y
IDCJAC0010,023000,2022,01,08,24.4,1,Y
IDCJAC0010,023000,2022,01,09,31.7,1,Y
IDCJAC0010,023000,2022,01,10,37.0,1,Y
IDCJAC0010,023000,2022,01,11,40.3,1,Y
IDCJAC0010,023000,2022,01,12,28.9,1,Y
IDCJAC0010,023000,2022,01,13,25.2,1,Y
IDCJAC0010,023000,2022,01,14,23.8,1,Y
IDCJAC0010,023000,2022,01,15,26.7,1,Y
IDCJAC0010,023000,2022,01,16,28.6,1,Y
IDCJAC0010,023000,2022,01,17,25.6,1,Y
IDCJAC0010,023000,2022,01,18,25.0,1,Y
IDCJAC0010,023000,2022,01,19,29.8,1,Y
IDCJAC0010,023000,2022,01,20,35.1,1,Y
IDCJAC0010,023000,2022,01,21,33.7,1,Y
IDCJAC0010,023000,2022,01,22,26.3,1,Y
IDCJAC0010,023000,2022,01,23,25.9,1,Y
IDCJAC0010,023000,2022,01,24,30.1,1,Y
IDCJAC0010,023000,2022,01,25,31.7,1,Y
IDCJAC0010,023000,2022,01,26,34.1,1,Y
IDCJAC0010,023000,2022,01,27,34.4,1,Y
IDCJAC0010,023000,2022,01,28,26.8,1,Y
IDCJAC0010,023000,2022,01,29,28.5,1,Y
IDCJAC0010,023000,2022,01,30,32.8,1,Y
IDCJAC0010,023000,2022,01,31,35.2,1,Y
IDCJAC0010,023000,2022,02,01,24.1,1,Y
IDCJAC0010,023000,2022,02,02,22.4,1,Y
IDCJAC0010,023000,2022,02,03,23.7,1,Y
IDCJAC0010,023000,2022,02,04,27.6,1,Y
IDCJAC0010,023000,2022,02,05,30.9,1,Y
IDCJAC0010,023000,2022,02,06,32.2,1,Y
IDCJAC0010,023000,2022,02,07,33.7,1,Y
IDCJAC0010,023000,2022,02,08,33.2,1,Y
IDCJAC0010,023000,2022,02,09,24.8,1,Y
IDCJAC0010,023000,2022,02,10,24.7,1,Y
IDCJAC0010,023000,2022,02,11,27.6,1,Y
IDCJAC0010,023000,2022,02,12,27.9,1,Y
IDCJAC0010,023000,2022,02,13,34.8,1,Y
IDCJAC0010,023000,2022,02,14,35.5,1,Y
IDCJAC0010,023000,2022,02,15,31.9,1,Y
IDCJAC0010,023000,2022,02,16,26.0,1,Y
IDCJAC0010,023000,2022,02,17,23.6,1,Y
IDCJAC0010,023000,2022,02,18,24.3,1,Y
IDCJAC0010,023000,2022,02,19,24.1,1,Y
IDCJAC0010,023000,2022,02,20,21.9,1,Y
IDCJAC0010,023000,2022,02,21,21.5,1,Y
IDCJAC0010,023000,2022,02,22,27.0,1,Y
IDCJAC0010,023000,2022,02,23,32.7,1,Y
IDCJAC0010,023000,2022,02,24,33.2,1,Y
IDCJAC0010,023000,2022,02,25,30.1,1,Y
IDCJAC0010,023000,2022,02,26,29.8,1,Y
IDCJAC0010,023000,2022,02,27,27.6,1,Y
IDCJAC0010,023000,2022,02,28,27.7,1,Y
IDCJAC0010,023000,2022,03,01,27.0,1,Y
IDCJAC0010,023000,2022,03,02,27.9,1,Y
IDCJAC0010,023000,2022,03,03,33.3,1,Y
IDCJAC0010,023000,2022,03,04,23.6,1,Y
IDCJAC0010,023000,2022,03,05,24.4,1,Y
IDCJAC0010,023000,2022,03,06,23.7,1,Y
IDCJAC0010,023000,2022,03,07,24.4,1,Y
IDCJAC0010,023000,2022,03,08,23.2,1,Y
IDCJAC0010,023000,2022,03,09,24.9,1,Y
IDCJAC0010,023000,2022,03,10,26.3,1,Y
IDCJAC0010,023000,2022,03,11,26.2,1,Y
IDCJAC0010,023000,2022,03,12,29.6,1,Y
IDCJAC0010,023000,2022,03,13,33.2,1,Y
IDCJAC0010,023000,2022,03,14,35.3,1,Y
IDCJAC0010,023000,2022,03,15,34.4,1,Y
IDCJAC0010,023000,2022,03,16,27.5,1,Y
IDCJAC0010,023000,2022,03,17,29.1,1,Y
IDCJAC0010,023000,2022,03,18,29.1,1,Y
IDCJAC0010,023000,2022,03,19,33.7,1,Y
IDCJAC0010,023000,2022,03,20,31.3,1,Y
IDCJAC0010,023000,2022,03,21,29.7,1,Y
IDCJAC0010,023000,2022,03,22,23.3,1,Y
IDCJAC0010,023000,2022,03,23,23.0,1,Y
IDCJAC0010,023000,2022,03,24,23.7,1,Y
IDCJAC0010,023000,2022,03,25,23.7,1,Y
IDCJAC0010,023000,2022,03,26,26.5,1,Y
IDCJAC0010,023000,2022,03,27,31.8,1,Y
IDCJAC0010,023000,2022,03,28,27.4,1,Y
IDCJAC0010,023000,2022,03,29,24.0,1,Y
IDCJAC0010,023000,2022,03,30,22.9,1,Y
IDCJAC0010,023000,2022,03,31,21.0,1,Y
IDCJAC0010,023000,2022,04,01,23.5,1,Y
IDCJAC0010,023000,2022,04,02,22.6,1,Y
IDCJAC0010,023000,2022,04,03,22.9,1,Y
IDCJAC0010,023000,2022,04,04,24.1,1,Y
IDCJAC0010,023000,2022,04,05,23.7,1,Y
IDCJAC0010,023000,2022,04,06,22.0,1,Y
IDCJAC0010,023000,2022,04,07,23.3,1,Y
IDCJAC0010,023000,2022,04,08,27.0,1,Y
IDCJAC0010,023000,2022,04,09,28.8,1,Y
IDCJAC0010,023000,2022,04,10,31.0,1,Y
IDCJAC0010,023000,2022,04,11,24.2,1,Y
IDCJAC0010,023000,2022,04,12,23.3,1,Y
IDCJAC0010,023000,2022,04,13,27.6,1,Y
IDCJAC0010,023000,2022,04,14,24.6,1,Y
IDCJAC0010,023000,2022,04,15,26.7,1,Y
IDCJAC0010,023000,2022,04,16,29.5,1,Y
IDCJAC0010,023000,2022,04,17,25.5,1,Y
IDCJAC0010,023000,2022,04,18,19.5,1,Y
IDCJAC0010,023000,2022,04,19,19.6,1,Y
IDCJAC0010,023000,2022,04,20,21.1,1,Y
IDCJAC0010,023000,2022,04,21,21.2,1,Y
IDCJAC0010,023000,2022,04,22,19.7,1,Y
IDCJAC0010,023000,2022,04,23,23.5,1,Y
IDCJAC0010,023000,2022,04,24,27.0,1,Y
IDCJAC0010,023000,2022,04,25,25.5,1,Y
IDCJAC0010,023000,2022,04,26,21.7,1,Y
IDCJAC0010,023000,2022,04,27,22.6,1,Y
IDCJAC0010,023000,2022,04,28,28.7,1,Y
IDCJAC0010,023000,2022,04,29,19.8,1,Y
IDCJAC0010,023000,2022,04,30,19.7,1,Y
IDCJAC0010,023000,2022,05,01,21.0,1,Y
IDCJAC0010,023000,2022,05,02,22.9,1,Y
IDCJAC0010,023000,2022,05,03,23.3,1,Y
IDCJAC0010,023000,2022,05,04,16.8,1,Y
IDCJAC0010,023000,2022,05,05,15.0,1,Y
IDCJAC0010,023000,2022,05,06,15.8,1,Y
IDCJAC0010,023000,2022,05,07,17.6,1,Y
IDCJAC0010,023000,2022,05,08,17.3,1,Y
IDCJAC0010,023000,2022,05,09,20.6,1,Y
IDCJAC0010,023000,2022,05,10,19.7,1,Y
IDCJAC0010,023000,2022,05,11,22.5,1,Y
IDCJAC0010,023000,2022,05,12,18.5,1,Y
IDCJAC0010,023000,2022,05,13,22.2,1,Y
IDCJAC0010,023000,2022,05,14,22.0,1,Y
IDCJAC0010,023000,2022,05,15,20.8,1,Y
IDCJAC0010,023000,2022,05,16,17.0,1,Y
IDCJAC0010,023000,2022,05,17,16.9,1,Y
IDCJAC0010,023000,2022,05,18,17.3,1,Y
IDCJAC0010,023000,2022,05,19,17.4,1,Y
IDCJAC0010,023000,2022,05,20,17.5,1,Y
IDCJAC0010,023000,2022,05,21,18.9,1,Y
IDCJAC0010,023000,2022,05,22,22.0,1,Y
IDCJAC0010,023000,2022,05,23,23.2,1,Y
IDCJAC0010,023000,2022,05,24,21.3,1,Y
IDCJAC0010,023000,2022,05,25,17.7,1,Y
IDCJAC0010,023000,2022,05,26,18.1,1,Y
IDCJAC0010,023000,2022,05,27,15.8,1,Y
IDCJAC0010,023000,2022,05,28,16.8,1,Y
IDCJAC0010,023000,2022,05,29,19.0,1,Y
IDCJAC0010,023000,2022,05,30,15.8,1,Y
IDCJAC0010,023000,2022,05,31,13.9,1,Y
IDCJAC0010,023000,2022,06,01,15.2,1,Y
IDCJAC0010,023000,2022,06,02,13.7,1,Y
IDCJAC0010,023000,2022,06,03,14.1,1,Y
IDCJAC0010,023000,2022,06,04,15.9,1,Y
IDCJAC0010,023000,2022,06,05,12.7,1,Y
IDCJAC0010,023000,2022,06,06,14.0,1,Y
IDCJAC0010,023000,2022,06,07,14.8,1,Y
IDCJAC0010,023000,2022,06,08,14.4,1,Y
IDCJAC0010,023000,2022,06,09,15.4,1,Y
IDCJAC0010,023000,2022,06,10,15.5,1,Y
IDCJAC0010,023000,2022,06,11,14.5,1,Y
IDCJAC0010,023000,2022,06,12,15.3,1,Y
IDCJAC0010,023000,2022,06,13,15.9,1,Y
IDCJAC0010,023000,2022,06,14,17.4,1,Y
IDCJAC0010,023000,2022,06,15,16.2,1,Y
IDCJAC0010,023000,2022,06,16,16.6,1,Y
IDCJAC0010,023000,2022,06,17,16.0,1,Y
IDCJAC0010,023000,2022,06,18,18.0,1,Y
IDCJAC0010,023000,2022,06,19,16.1,1,Y
IDCJAC0010,023000,2022,06,20,15.9,1,Y
IDCJAC0010,023000,2022,06,21,15.8,1,Y
IDCJAC0010,023000,2022,06,22,16.8,1,Y
IDCJAC0010,023000,2022,06,23,18.8,1,Y
IDCJAC0010,023000,2022,06,24,15.8,1,Y
IDCJAC0010,023000,2022,06,25,16.5,1,Y
IDCJAC0010,023000,2022,06,26,15.5,1,Y
IDCJAC0010,023000,2022,06,27,14.9,1,Y
IDCJAC0010,023000,2022,06,28,15.5,1,Y
IDCJAC0010,023000,2022,06,29,14.3,1,Y
IDCJAC0010,023000,2022,06,30,15.7,1,Y
IDCJAC0010,023000,2022,07,01,13.2,1,Y
IDCJAC0010,023000,2022,07,02,13.1,1,Y
IDCJAC0010,023000,2022,07,03,13.3,1,Y
IDCJAC0010,023000,2022,07,04,15.2,1,Y
IDCJAC0010,023000,2022,07,05,16.9,1,Y
IDCJAC0010,023000,2022,07,06,14.5,1,Y
IDCJAC0010,023000,2022,07,07,14.9,1,Y
IDCJAC0010,023000,2022,07,08,15.1,1,Y
IDCJAC0010,023000,2022,07,09,13.8,1,Y
IDCJAC0010,023000,2022,07,10,13.1,1,Y
IDCJAC0010,023000,2022,07,11,13.7,1,Y
IDCJAC0010,023000,2022,07,12,14.4,1,Y
IDCJAC0010,023000,2022,07,13,14.2,1,Y
IDCJAC0010,023000,2022,07,14,14.7,1,Y
IDCJAC0010,023000,2022,07,15,14.8,1,Y
IDCJAC0010,023000,2022,07,16,14.4,1,Y
IDCJAC0010,023000,2022,07,17,15.3,1,Y
IDCJAC0010,023000,2022,07,18,13.2,1,Y
IDCJAC0010,023000,2022,07,19,11.2,1,Y
IDCJAC0010,023000,2022,07,20,13.6,1,Y
IDCJAC0010,023000,2022,07,21,18.0,1,Y
IDCJAC0010,023000,2022,07,22,16.4,1,Y
IDCJAC0010,023000,2022,07,23,17.5,1,Y
IDCJAC0010,023000,2022,07,24,19.8,1,Y
IDCJAC0010,023000,2022,07,25,15.5,1,Y
IDCJAC0010,023000,2022,07,26,14.9,1,Y
IDCJAC0010,023000,2022,07,27,15.4,1,Y
IDCJAC0010,023000,2022,07,28,14.7,1,Y
IDCJAC0010,023000,2022,07,29,16.4,1,Y
IDCJAC0010,023000,2022,07,30,15.4,1,Y
IDCJAC0010,023000,2022,07,31,14.4,1,Y
IDCJAC0010,023000,2022,08,01,16.3,1,Y
IDCJAC0010,023000,2022,08,02,15.8,1,Y
IDCJAC0010,023000,2022,08,03,20.9,1,Y
IDCJAC0010,023000,2022,08,04,17.8,1,Y
IDCJAC0010,023000,2022,08,05,14.6,1,Y
IDCJAC0010,023000,2022,08,06,14.9,1,Y
IDCJAC0010,023000,2022,08,07,15.2,1,Y
IDCJAC0010,023000,2022,08,08,16.0,1,Y
IDCJAC0010,023000,2022,08,09,18.4,1,Y
IDCJAC0010,023000,2022,08,10,14.9,1,Y
IDCJAC0010,023000,2022,08,11,16.2,1,Y
IDCJAC0010,023000,2022,08,12,14.9,1,Y
IDCJAC0010,023000,2022,08,13,14.9,1,Y
IDCJAC0010,023000,2022,08,14,15.6,1,Y
IDCJAC0010,023000,2022,08,15,15.7,1,Y
IDCJAC0010,023000,2022,08,16,16.1,1,Y
IDCJAC0010,023000,2022,08,17,17.7,1,Y
IDCJAC0010,023000,2022,08,18,17.0,1,Y
IDCJAC0010,023000,2022,08,19,15.9,1,Y
IDCJAC0010,023000,2022,08,20,15.8,1,Y
IDCJAC0010,023000,2022,08,21,15.8,1,Y
IDCJAC0010,023000,2022,08,22,13.3,1,Y
IDCJAC0010,023000,2022,08,23,13.5,1,Y
IDCJAC0010,023000,2022,08,24,15.3,1,Y
IDCJAC0010,023000,2022,08,25,15.5,1,Y
IDCJAC0010,023000,2022,08,26,17.4,1,Y
IDCJAC0010,023000,2022,08,27,18.8,1,Y
IDCJAC0010,023000,2022,08,28,22.3,1,Y
IDCJAC0010,023000,2022,08,29,15.4,1,Y
IDCJAC0010,023000,2022,08,30,14.2,1,Y
IDCJAC0010,023000,2022,08,31,15.7,1,Y
IDCJAC0010,023000,2022,09,01,15.5,1,Y
IDCJAC0010,023000,2022,09,02,13.9,1,Y
IDCJAC0010,023000,2022,09,03,15.8,1,Y
IDCJAC0010,023000,2022,09,04,16.6,1,Y
IDCJAC0010,023000,2022,09,05,17.1,1,Y
IDCJAC0010,023000,2022,09,06,20.3,1,Y
IDCJAC0010,023000,2022,09,07,18.9,1,Y
IDCJAC0010,023000,2022,09,08,17.5,1,Y
IDCJAC0010,023000,2022,09,09,15.9,1,Y
IDCJAC0010,023000,2022,09,10,15.3,1,Y
IDCJAC0010,023000,2022,09,11,15.2,1,Y
IDCJAC0010,023000,2022,09,12,16.2,1,Y
IDCJAC0010,023000,2022,09,13,20.4,1,Y
IDCJAC0010,023000,2022,09,14,18.0,1,Y
IDCJAC0010,023000,2022,09,15,19.6,1,Y
IDCJAC0010,023000,2022,09,16,16.0,1,Y
IDCJAC0010,023000,2022,09,17,15.9,1,Y
IDCJAC0010,023000,2022,09,18,17.2,1,Y
IDCJAC0010,023000,2022,09,19,19.8,1,Y
IDCJAC0010,023000,2022,09,20,20.1,1,Y
IDCJAC0010,023000,2022,09,21,15.8,1,Y
IDCJAC0010,023000,2022,09,22,17.4,1,Y
IDCJAC0010,023000,2022,09,23,17.4,1,Y
IDCJAC0010,023000,2022,09,24,16.9,1,Y
IDCJAC0010,023000,2022,09,25,19.1,1,Y
IDCJAC0010,023000,2022,09,26,15.9,1,Y
IDCJAC0010,023000,2022,09,27,15.2,1,Y
IDCJAC0010,023000,2022,09,28,15.9,1,Y
IDCJAC0010,023000,2022,09,29,17.6,1,Y
IDCJAC0010,023000,2022,09,30,20.0,1,Y
IDCJAC0010,023000,2022,10,01,21.5,1,Y
IDCJAC0010,023000,2022,10,02,25.1,1,Y
IDCJAC0010,023000,2022,10,03,23.6,1,Y
IDCJAC0010,023000,2022,10,04,18.1,1,Y
IDCJAC0010,023000,2022,10,05,22.0,1,Y
IDCJAC0010,023000,2022,10,06,24.1,1,Y
IDCJAC0010,023000,2022,10,07,17.5,1,Y
IDCJAC0010,023000,2022,10,08,16.3,1,Y
IDCJAC0010,023000,2022,10,09,17.3,1,Y
IDCJAC0010,023000,2022,10,10,22.2,1,Y
