Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2021,01,01,30.7,1,Y
IDCJAC0010,023000,2021,01,02,25.3,1,Y
IDCJAC0010,023000,2021,01,03,26.1,1,Y
IDCJAC0010,023000,2021,01,04,21.4,1,Y
IDCJAC0010,023000,2021,01,05,22.4,1,Y
IDCJAC0010,023000,2021,01,06,23.6,1,Y
IDCJAC0010,023000,2021,01,07,27.4,1,Y
IDCJAC0010,023000,2021,01,08,33.3,1,Y
IDCJAC0010,023000,2021,01,09,34.8,1,Y
IDCJAC0010,023000,2021,01,10,37.3,1,Y
IDCJAC0010,023000,2021,01,11,38.3,1,Y
IDCJAC0010,023000,2021,01,12,31.2,1,Y
IDCJAC0010,023000,2021,01,13,28.3,1,Y
IDCJAC0010,023000,2021,01,14,22.7,1,Y
IDCJAC0010,023000,2021,01,15,21.3,1,Y
IDCJAC0010,023000,2021,01,16,22.2,1,Y
IDCJAC0010,023000,2021,01,17,23.8,1,Y
IDCJAC0010,023000,2021,01,18,25.0,1,Y
IDCJAC0010,023000,2021,01,19,28.6,1,Y
IDCJAC0010,023000,2021,01,20,31.6,1,Y
IDCJAC0010,023000,2021,01,21,34.1,1,Y
IDCJAC0010,023000,2021,01,22,31.4,1,Y
IDCJAC0010,023000,2021,01,23,39.0,1,Y
IDCJAC0010,023000,2021,01,24,42.7,1,Y
IDCJAC0010,023000,2021,01,25,34.0,1,Y
IDCJAC0010,023000,2021,01,26,24.1,1,Y
IDCJAC0010,023000,2021,01,27,27.5,1,Y
IDCJAC0010,023000,2021,01,28,30.6,1,Y
IDCJAC0010,023000,2021,01,29,25.5,1,Y
IDCJAC0010,023000,2021,01,30,25.5,1,Y
IDCJAC0010,023000,2021,01,31,27.4,1,Y
IDCJAC0010,023000,2021,02,01,25.6,1,N
IDCJAC0010,023000,2021,02,02,24.5,1,N
IDCJAC0010,023000,2021,02,03,28.6,1,N
IDCJAC0010,023000,2021,02,04,24.6,1,N
IDCJAC0010,023000,2021,02,05,19.4,1,N
IDCJAC0010,023000,2021,02,06,20.4,1,N
IDCJAC0010,023000,2021,02,07,21.2,1,Y
IDCJAC0010,023000,2021,02,08,25.7,1,N
IDCJAC0010,023000,2021,02,09,30.5,1,N
IDCJAC0010,023000,2021,02,10,35.0,1,N
IDCJAC0010,023000,2021,02,11,35.4,1,N
IDCJAC0010,023000,2021,02,12,22.6,1,N
IDCJAC0010,023000,2021,02,13,23.5,1,N
IDCJAC0010,023000,2021,02,14,26.3,1,N
IDCJAC0010,023000,2021,02,15,30.5,1,N
IDCJAC0010,023000,2021,02,16,34.8,1,N
IDCJAC0010,023000,2021,02,17,37.9,1,N
IDCJAC0010,023000,2021,02,18,36.9,1,N
IDCJAC0010,023000,2021,02,19,36.7,1,N
IDCJAC0010,023000,2021,02,20,30.6,1,N
IDCJAC0010,023000,2021,02,21,22.9,1,N
IDCJAC0010,023000,2021,02,22,23.9,1,N
IDCJAC0010,023000,2021,02,23,22.5,1,N
IDCJAC0010,023000,2021,02,24,22.2,1,N
IDCJAC0010,023000,2021,02,25,21.5,1,N
IDCJAC0010,023000,2021,02,26,23.9,1,N
IDCJAC0010,023000,2021,02,27,25.9,1,N
IDCJAC0010,023000,2021,02,28,25.7,1,N
IDCJAC0010,023000,2021,03,01,26.3,1,N
IDCJAC0010,023000,2021,03,02,24.6,1,N
IDCJAC0010,023000,2021,03,03,25.8,1,N
IDCJAC0010,023000,2021,03,04,24.7,1,N
IDCJAC0010,023000,2021,03,05,27.6,1,N
IDCJAC0010,023000,2021,03,06,28.3,1,N
IDCJAC0010,023000,2021,03,07,28.5,1,N
IDCJAC0010,023000,2021,03,08,26.4,1,N
IDCJAC0010,023000,2021,03,09,26.6,1,N
IDCJAC0010,023000,2021,03,10,26.4,1,N
IDCJAC0010,023000,2021,03,11,26.7,1,N
IDCJAC0010,023000,2021,03,12,32.5,1,N
IDCJAC0010,023000,2021,03,13,20.8,1,N
IDCJAC0010,023000,2021,03,14,20.6,1,Y
IDCJAC0010,023000,2021,03,15,21.7,1,N
IDCJAC0010,023000,2021,03,16,23.7,1,N
IDCJAC0010,023000,2021,03,17,27.3,1,N
IDCJAC0010,023000,2021,03,18,30.7,1,N
IDCJAC0010,023000,2021,03,19,30.9,1,N
IDCJAC0010,023000,2021,03,20,32.6,1,N
IDCJAC0010,023000,2021,03,21,30.4,1,N
IDCJAC0010,023000,2021,03,22,28.9,1,N
IDCJAC0010,023000,2021,03,23,23.9,1,N
IDCJAC0010,023000,2021,03,24,22.8,1,N
IDCJAC0010,023000,2021,03,25,22.0,1,N
IDCJAC0010,023000,2021,03,26,22.9,1,N
IDCJAC0010,023000,2021,03,27,21.3,1,N
IDCJAC0010,023000,2021,03,28,21.6,1,N
IDCJAC0010,023000,2021,03,29,23.9,1,N
IDCJAC0010,023000,2021,03,30,27.1,1,N
IDCJAC0010,023000,2021,03,31,28.0,1,N
IDCJAC0010,023000,2021,04,01,32.3,1,N
IDCJAC0010,023000,2021,04,02,33.4,1,N
IDCJAC0010,023000,2021,04,03,33.7,1,N
IDCJAC0010,023000,2021,04,04,29.9,1,N
IDCJAC0010,023000,2021,04,05,25.7,1,N
IDCJAC0010,023000,2021,04,06,28.3,1,N
IDCJAC0010,023000,2021,04,07,,,
IDCJAC0010,023000,2021,04,08,32.5,1,N
IDCJAC0010,023000,2021,04,09,22.4,1,N
IDCJAC0010,023000,2021,04,10,19.6,1,N
IDCJAC0010,023000,2021,04,11,19.3,1,N
IDCJAC0010,023000,2021,04,12,21.4,1,N
IDCJAC0010,023000,2021,04,13,23.5,1,N
IDCJAC0010,023000,2021,04,14,21.0,1,N
IDCJAC0010,023000,2021,04,15,20.6,1,N
IDCJAC0010,023000,2021,04,16,20.1,1,N
IDCJAC0010,023000,2021,04,17,19.6,1,N
IDCJAC0010,023000,2021,04,18,20.2,1,N
IDCJAC0010,023000,2021,04,19,20.5,1,N
IDCJAC0010,023000,2021,04,20,18.4,1,N
IDCJAC0010,023000,2021,04,21,17.1,1,N
IDCJAC0010,023000,2021,04,22,19.4,1,N
IDCJAC0010,023000,2021,04,23,18.7,1,N
IDCJAC0010,023000,2021,04,24,20.0,1,N
IDCJAC0010,023000,2021,04,25,20.2,1,N
IDCJAC0010,023000,2021,04,26,20.5,1,N
IDCJAC0010,023000,2021,04,27,21.2,1,N
IDCJAC0010,023000,2021,04,28,20.7,1,N
IDCJAC0010,023000,2021,04,29,22.7,1,N
IDCJAC0010,023000,2021,04,30,26.8,1,N
IDCJAC0010,023000,2021,05,01,29.0,1,Y
IDCJAC0010,023000,2021,05,02,21.1,1,Y
IDCJAC0010,023000,2021,05,03,20.3,1,Y
IDCJAC0010,023000,2021,05,04,17.6,1,Y
IDCJAC0010,023000,2021,05,05,19.6,1,Y
IDCJAC0010,023000,2021,05,06,21.9,1,Y
IDCJAC0010,023000,2021,05,07,22.4,1,Y
