Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2019,04,11,21.6,1,Y
IDCJAC0010,023000,2019,04,12,25.2,1,Y
IDCJAC0010,023000,2019,04,13,23.1,1,Y
IDCJAC0010,023000,2019,04,14,28.7,1,Y
IDCJAC0010,023000,2019,04,15,28.9,1,Y
IDCJAC0010,023000,2019,04,16,33.5,1,Y
IDCJAC0010,023000,2019,04,17,25.7,1,Y
IDCJAC0010,023000,2019,04,18,23.0,1,Y
IDCJAC0010,023000,2019,04,19,33.8,1,Y
IDCJAC0010,023000,2019,04,20,32.2,1,Y
IDCJAC0010,023000,2019,04,21,20.0,1,Y
IDCJAC0010,023000,2019,04,22,20.5,1,Y
IDCJAC0010,023000,2019,04,23,21.7,1,Y
IDCJAC0010,023000,2019,04,24,20.4,1,Y
IDCJAC0010,023000,2019,04,25,21.4,1,Y
IDCJAC0010,023000,2019,04,26,18.3,1,Y
IDCJAC0010,023000,2019,04,27,17.9,1,Y
IDCJAC0010,023000,2019,04,28,18.5,1,Y
IDCJAC0010,023000,2019,04,29,23.9,1,Y
IDCJAC0010,023000,2019,04,30,24.3,1,Y
IDCJAC0010,023000,2019,05,01,18.8,1,Y
IDCJAC0010,023000,2019,05,02,17.9,1,Y
IDCJAC0010,023000,2019,05,03,18.9,1,Y
IDCJAC0010,023000,2019,05,04,18.7,1,Y
IDCJAC0010,023000,2019,05,05,18.7,1,Y
IDCJAC0010,023000,2019,05,06,19.6,1,Y
IDCJAC0010,023000,2019,05,07,17.8,1,Y
IDCJAC0010,023000,2019,05,08,17.1,1,Y
IDCJAC0010,023000,2019,05,09,12.3,1,Y
IDCJAC0010,023000,2019,05,10,15.4,1,Y
IDCJAC0010,023000,2019,05,11,17.3,1,Y
IDCJAC0010,023000,2019,05,12,16.7,1,Y
IDCJAC0010,023000,2019,05,13,18.8,1,Y
IDCJAC0010,023000,2019,05,14,19.5,1,Y
IDCJAC0010,023000,2019,05,15,19.5,1,Y
IDCJAC0010,023000,2019,05,16,21.1,1,Y
IDCJAC0010,023000,2019,05,17,22.9,1,Y
IDCJAC0010,023000,2019,05,18,24.9,1,Y
IDCJAC0010,023000,2019,05,19,23.1,1,Y
IDCJAC0010,023000,2019,05,20,18.6,1,Y
IDCJAC0010,023000,2019,05,21,22.6,1,Y
IDCJAC0010,023000,2019,05,22,21.6,1,Y
IDCJAC0010,023000,2019,05,23,24.2,1,Y
IDCJAC0010,023000,2019,05,24,23.4,1,Y
IDCJAC0010,023000,2019,05,25,16.8,1,Y
IDCJAC0010,023000,2019,05,26,15.9,1,Y
IDCJAC0010,023000,2019,05,27,15.1,1,Y
IDCJAC0010,023000,2019,05,28,15.8,1,Y
IDCJAC0010,023000,2019,05,29,14.4,1,Y
IDCJAC0010,023000,2019,05,30,15.6,1,Y
IDCJAC0010,023000,2019,05,31,15.1,1,Y
IDCJAC0010,023000,2019,06,01,15.4,1,Y
IDCJAC0010,023000,2019,06,02,15.5,1,Y
IDCJAC0010,023000,2019,06,03,14.1,1,Y
IDCJAC0010,023000,2019,06,04,12.8,1,Y
IDCJAC0010,023000,2019,06,05,14.1,1,Y
IDCJAC0010,023000,2019,06,06,15.1,1,Y
IDCJAC0010,023000,2019,06,07,16.6,1,Y
IDCJAC0010,023000,2019,06,08,17.2,1,Y
IDCJAC0010,023000,2019,06,09,16.7,1,Y
IDCJAC0010,023000,2019,06,10,17.6,1,Y
IDCJAC0010,023000,2019,06,11,22.2,1,Y
IDCJAC0010,023000,2019,06,12,17.7,1,Y
IDCJAC0010,023000,2019,06,13,16.9,1,Y
IDCJAC0010,023000,2019,06,14,17.1,1,Y
IDCJAC0010,023000,2019,06,15,16.0,1,Y
IDCJAC0010,023000,2019,06,16,16.8,1,Y
IDCJAC0010,023000,2019,06,17,15.1,1,Y
IDCJAC0010,023000,2019,06,18,14.0,1,Y
IDCJAC0010,023000,2019,06,19,13.7,1,Y
IDCJAC0010,023000,2019,06,20,12.4,1,Y
IDCJAC0010,023000,2019,06,21,16.2,1,Y
