Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2023,01,01,36.6,1,N
IDCJAC0010,023000,2023,01,02,30.3,1,N
IDCJAC0010,023000,2023,01,03,24.7,1,Y
IDCJAC0010,023000,2023,01,04,22.9,1,N
IDCJAC0010,023000,2023,01,05,24.7,1,N
IDCJAC0010,023000,2023,01,06,28.9,1,N
IDCJAC0010,023000,2023,01,07,35.9,1,N
IDCJAC0010,023000,2023,01,08,37.1,1,N
IDCJAC0010,023000,2023,01,09,31.8,1,N
IDCJAC0010,023000,2023,01,10,31.9,1,N
IDCJAC0010,023000,2023,01,11,32.6,1,N
IDCJAC0010,023000,2023,01,12,35.3,1,N
IDCJAC0010,023000,2023,01,13,37.2,1,N
IDCJAC0010,023000,2023,01,14,40.6,1,N
IDCJAC0010,023000,2023,01,15,25.3,1,N
IDCJAC0010,023000,2023,01,16,35.2,1,N
IDCJAC0010,023000,2023,01,17,36.6,1,N
IDCJAC0010,023000,2023,01,18,20.9,1,N
IDCJAC0010,023000,2023,01,19,23.0,1,N
IDCJAC0010,023000,2023,01,20,24.9,1,N
IDCJAC0010,023000,2023,01,21,27.2,1,N
IDCJAC0010,023000,2023,01,22,30.1,1,N
IDCJAC0010,023000,2023,01,23,32.4,1,N
IDCJAC0010,023000,2023,01,24,29.8,1,N
IDCJAC0010,023000,2023,01,25,26.5,1,N
IDCJAC0010,023000,2023,01,26,28.8,1,N
IDCJAC0010,023000,2023,01,27,37.8,1,N
IDCJAC0010,023000,2023,01,28,27.8,1,N
IDCJAC0010,023000,2023,01,29,23.6,1,N
IDCJAC0010,023000,2023,01,30,26.5,1,N
IDCJAC0010,023000,2023,01,31,24.6,1,N
IDCJAC0010,023000,2023,02,01,21.0,1,N
IDCJAC0010,023000,2023,02,02,20.7,1,N
IDCJAC0010,023000,2023,02,03,19.3,1,N
IDCJAC0010,023000,2023,02,04,21.7,1,N
IDCJAC0010,023000,2023,02,05,23.2,1,N
IDCJAC0010,023000,2023,02,06,28.6,1,N
IDCJAC0010,023000,2023,02,07,31.7,1,N
IDCJAC0010,023000,2023,02,08,33.2,1,N
IDCJAC0010,023000,2023,02,09,36.9,1,Y
IDCJAC0010,023000,2023,02,10,25.7,1,N
IDCJAC0010,023000,2023,02,11,23.6,1,N
IDCJAC0010,023000,2023,02,12,24.6,1,N
IDCJAC0010,023000,2023,02,13,25.5,1,N
IDCJAC0010,023000,2023,02,14,27.0,1,N
IDCJAC0010,023000,2023,02,15,35.7,1,N
IDCJAC0010,023000,2023,02,16,39.7,1,N
IDCJAC0010,023000,2023,02,17,25.8,1,N
IDCJAC0010,023000,2023,02,18,27.5,1,N
IDCJAC0010,023000,2023,02,19,29.7,1,N
IDCJAC0010,023000,2023,02,20,34.5,1,N
IDCJAC0010,023000,2023,02,21,36.5,1,N
IDCJAC0010,023000,2023,02,22,38.7,1,N
IDCJAC0010,023000,2023,02,23,40.2,1,N
IDCJAC0010,023000,2023,02,24,38.0,1,N
IDCJAC0010,023000,2023,02,25,23.3,1,N
IDCJAC0010,023000,2023,02,26,24.6,1,N
IDCJAC0010,023000,2023,02,27,26.3,1,N
IDCJAC0010,023000,2023,02,28,22.8,1,N
IDCJAC0010,023000,2023,03,01,24.1,1,Y
IDCJAC0010,023000,2023,03,02,23.0,1,Y
IDCJAC0010,023000,2023,03,03,25.6,1,Y
IDCJAC0010,023000,2023,03,04,28.2,1,Y
IDCJAC0010,023000,2023,03,05,24.8,1,Y
IDCJAC0010,023000,2023,03,06,23.6,1,Y
