Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2024,01,01,27.9,1,Y
IDCJAC0010,023000,2024,01,02,28.9,1,Y
IDCJAC0010,023000,2024,01,03,27.0,1,Y
IDCJAC0010,023000,2024,01,04,32.8,1,Y
IDCJAC0010,023000,2024,01,05,35.0,1,Y
IDCJAC0010,023000,2024,01,06,28.8,1,Y
IDCJAC0010,023000,2024,01,07,26.0,1,Y
IDCJAC0010,023000,2024,01,08,23.8,1,Y
IDCJAC0010,023000,2024,01,09,26.2,1,Y
IDCJAC0010,023000,2024,01,10,28.6,1,Y
IDCJAC0010,023000,2024,01,11,33.5,1,Y
IDCJAC0010,023000,2024,01,12,37.2,1,Y
IDCJAC0010,023000,2024,01,13,32.4,1,Y
IDCJAC0010,023000,2024,01,14,30.5,1,Y
IDCJAC0010,023000,2024,01,15,34.9,1,Y
IDCJAC0010,023000,2024,01,16,32.9,1,Y
IDCJAC0010,023000,2024,01,17,21.2,1,Y
IDCJAC0010,023000,2024,01,18,22.4,1,Y
IDCJAC0010,023000,2024,01,19,30.8,1,Y
IDCJAC0010,023000,2024,01,20,35.7,1,Y
IDCJAC0010,023000,2024,01,21,26.5,1,Y
IDCJAC0010,023000,2024,01,22,31.7,1,Y
IDCJAC0010,023000,2024,01,23,41.2,1,Y
IDCJAC0010,023000,2024,01,24,29.7,1,Y
IDCJAC0010,023000,2024,01,25,25.2,1,Y
IDCJAC0010,023000,2024,01,26,23.3,1,Y
IDCJAC0010,023000,2024,01,27,22.7,1,Y
IDCJAC0010,023000,2024,01,28,28.7,1,Y
IDCJAC0010,023000,2024,01,29,29.8,1,Y
IDCJAC0010,023000,2024,01,30,26.0,1,Y
IDCJAC0010,023000,2024,01,31,26.0,1,Y
IDCJAC0010,023000,2024,02,01,26.5,1,N
IDCJAC0010,023000,2024,02,02,29.6,1,N
IDCJAC0010,023000,2024,02,03,34.7,1,N
IDCJAC0010,023000,2024,02,04,39.6,1,N
IDCJAC0010,023000,2024,02,05,25.1,1,N
IDCJAC0010,023000,2024,02,06,24.4,1,N
IDCJAC0010,023000,2024,02,07,26.2,1,N
IDCJAC0010,023000,2024,02,08,29.1,1,N
IDCJAC0010,023000,2024,02,09,29.1,1,N
IDCJAC0010,023000,2024,02,10,31.1,1,N
IDCJAC0010,023000,2024,02,11,33.7,1,N
IDCJAC0010,023000,2024,02,12,37.9,1,N
IDCJAC0010,023000,2024,02,13,26.9,1,N
IDCJAC0010,023000,2024,02,14,23.7,1,N
IDCJAC0010,023000,2024,02,15,26.7,1,N
IDCJAC0010,023000,2024,02,16,29.0,1,N
IDCJAC0010,023000,2024,02,17,32.9,1,N
IDCJAC0010,023000,2024,02,18,34.7,1,N
IDCJAC0010,023000,2024,02,19,33.8,1,N
IDCJAC0010,023000,2024,02,20,32.9,1,N
IDCJAC0010,023000,2024,02,21,35.7,1,Y
IDCJAC0010,023000,2024,02,22,33.4,1,N
IDCJAC0010,023000,2024,02,23,21.6,1,N
IDCJAC0010,023000,2024,02,24,25.7,1,N
IDCJAC0010,023000,2024,02,25,31.3,1,N
IDCJAC0010,023000,2024,02,26,27.3,1,N
IDCJAC0010,023000,2024,02,27,37.6,1,N
IDCJAC0010,023000,2024,02,28,28.0,1,N
IDCJAC0010,023000,2024,02,29,25.6,1,N
IDCJAC0010,023000,2024,03,01,27.8,1,Y
IDCJAC0010,023000,2024,03,02,27.8,1,Y
IDCJAC0010,023000,2024,03,03,26.6,1,Y
IDCJAC0010,023000,2024,03,04,29.3,1,Y
IDCJAC0010,023000,2024,03,05,34.1,1,Y
IDCJAC0010,023000,2024,03,06,34.5,1,Y
IDCJAC0010,023000,2024,03,07,32.7,1,Y
IDCJAC0010,023000,2024,03,08,37.4,1,Y
IDCJAC0010,023000,2024,03,09,39.9,1,Y
IDCJAC0010,023000,2024,03,10,38.8,1,Y
IDCJAC0010,023000,2024,03,11,39.2,1,Y
IDCJAC0010,023000,2024,03,12,37.1,1,Y
IDCJAC0010,023000,2024,03,13,33.4,1,Y
IDCJAC0010,023000,2024,03,14,26.1,1,Y
IDCJAC0010,023000,2024,03,15,29.4,1,Y
IDCJAC0010,023000,2024,03,16,32.9,1,Y
IDCJAC0010,023000,2024,03,17,31.8,1,Y
IDCJAC0010,023000,2024,03,18,32.9,1,Y
IDCJAC0010,023000,2024,03,19,23.8,1,Y
IDCJAC0010,023000,2024,03,20,21.0,1,Y
IDCJAC0010,023000,2024,03,21,23.5,1,Y
IDCJAC0010,023000,2024,03,22,24.7,1,Y
IDCJAC0010,023000,2024,03,23,23.1,1,Y
